language;language_level;role_object;pipeline;chat
English;A1;"{""setting"": ""Talking to the speaker at a conference afterparty."", ""roles"": [""conference attendee"", ""speaker""], ""GPT_role"": ""speaker"", ""user_role"": ""conference attendee""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Talking to the speaker at a conference afterparty.. The user is a speaker. Act as if you were conference attendee. Participate in a dialogue as conference attendee in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: conference attendee: ...""}, {""role"": ""user"", ""content"": ""Speaker: Hi! Nice to meet you here at the party after the event. How are you finding the conference until now?""}, {""role"": ""assistant"", ""content"": ""conference attendee: Oh, hello! Nice to meet you too. The conference has been great so far. I've learned a lot and met interesting people. How about you?""}, {""role"": ""user"", ""content"": ""Speaker: It's great that you're having a good time at the conference. I'm also happy to be a speaker and share what I know with the people here. It makes me feel good when they are interested in learning.""}, {""role"": ""assistant"", ""content"": ""conference attendee: That's wonderful to hear! I can imagine how rewarding it must be to share your knowledge and see people engage with your presentation. It's always inspiring to learn from experts like you at conferences.""}, {""role"": ""user"", ""content"": ""Thank you for your nice words. It makes me happy to see people joining in and learning from the talks. It's a good chance for speakers and participants to share what they know. Was there a specific topic or talk that you found interesting at the conference?""}, {""role"": ""assistant"", ""content"": ""conference attendee: Yes, there were actually a few talks that caught my attention. One of them was about the future of artificial intelligence. It was fascinating to learn about the potential applications and impact it can have on various industries. I also enjoyed a talk on effective communication skills, as it's something I always strive to improve.""}, {""role"": ""user"", ""content"": ""Speaker: It's good news! The future of artificial intelligence is very interesting and has many possibilities. It's always important to know about the latest technology developments. Communication skills are also very important nowadays, as they can affect our relationships with others, both in our personal lives and at work. I'm happy that you found those talks useful and interesting. Is there a particular part of communication skills that you want to get better at?""}, {""role"": ""assistant"", ""content"": ""conference attendee: Absolutely, staying updated with technology trends is crucial in today's rapidly changing world. As for communication skills, I would like to improve my public speaking abilities. I often get nervous when presenting in front of a large audience, so any tips or techniques to overcome that would be really helpful. What about you? Is there any aspect of communication skills you're looking to enhance?""}, {""role"": ""user"", ""content"": ""Speaker: It's okay to feel worried when talking in front of many people. One thing that might help is to practice your talk many times before. This can make you feel more sure of yourself and familiar with the information. Also, taking deep breaths and reminding yourself that the audience is there to help can make you feel less nervous.\n\nAs for me, I always try to get better at listening. It's important to really pay attention and understand what others are saying. This helps with talking well and forming good relationships with people.""}, {""role"": ""assistant"", ""content"": ""conference attendee: Thank you for the advice! I will definitely try practicing more and reminding myself that the audience is supportive. \n\nImproving listening skills is a great goal! It's true that actively listening and understanding others' perspectives can greatly enhance communication. It shows respect and helps build stronger connections with people. I'll keep that in mind as well.""}, {""role"": ""user"", ""content"": ""Speaker: You're welcome! I'm happy you found the advice useful. Just remember, practicing will make you better, and in time, you'll feel more sure of yourself when speaking in public.\n\nYes, listening carefully is an important skill that can really improve communication. It's a way to show that you care and understand others. By listening actively, we can make stronger connections and have better relationships. I'm glad you also found it helpful. Is there anything else you want to talk about or any other part of the conference you want to discuss?""}, {""role"": ""assistant"", ""content"": ""conference attendee: Thank you again for the encouragement! I will definitely keep practicing and working on my public speaking skills.\n\nAs for the conference, I would love to hear more about your experience as a speaker. What topics do you usually speak about? And what has been the most rewarding part of being a speaker at this conference?""}]"
English;A1;"{""setting"": ""Playing board games with friends."", ""roles"": [""player"", ""friend""], ""GPT_role"": ""friend"", ""user_role"": ""player""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Playing board games with friends.. The user is a friend. Act as if you were player. Participate in a dialogue as player in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: player: ...""}, {""role"": ""user"", ""content"": ""Friend: Hi! I'm really happy to play board games with you! Which game would you like to begin with?""}, {""role"": ""assistant"", ""content"": ""Player: I'm excited too! Let's start with something simple, like Snakes and Ladders.""}, {""role"": ""user"", ""content"": ""Friend: Good choice! Snakes and Ladders is a well-known game. Should we begin getting the board ready?""}, {""role"": ""assistant"", ""content"": ""Player: Yes, let's set up the board and get the dice ready.""}, {""role"": ""user"", ""content"": ""Friend: Wonderful! I will open the board while you get the dice. We should check that we have all the things we need to begin enjoying ourselves!""}, {""role"": ""assistant"", ""content"": ""Player: Great idea! I'll grab the dice and make sure we have all the game pieces too.""}, {""role"": ""user"", ""content"": ""Friend: Great! When we have everything prepared, we can begin rolling the dice and taking turns. It will be very enjoyable!""}, {""role"": ""assistant"", ""content"": ""Player: Absolutely! I'm looking forward to rolling the dice and taking turns. It's going to be a lot of fun!""}, {""role"": ""user"", ""content"": ""Friend: I totally agree! Let's begin and may the person who plays the best win!""}, {""role"": ""assistant"", ""content"": ""Player: Definitely! Let's start and may the best player win! Good luck to both of us!""}, {""role"": ""user"", ""content"": ""Friend: Thank you! I hope you have good luck too! Let's have a great time playing together!""}, {""role"": ""assistant"", ""content"": ""Player: Thank you! I'm sure we'll have a fantastic time playing together! Let's get started and enjoy the game!""}]"
English;A1;"{""setting"": ""At the airport managing a delayed flight."", ""roles"": [""airline representative"", ""passenger""], ""GPT_role"": ""airline representative"", ""user_role"": ""passenger""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""At the airport managing a delayed flight.. The user is a airline representative. Act as if you were passenger. Participate in a dialogue as passenger in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: passenger: ...""}, {""role"": ""user"", ""content"": ""I'm sorry for the wait. We are fixing the problem and aim to get you on your journey as soon as we can. Thank you for being patient.""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for the update. Can you tell me how much longer the delay is expected to be?""}, {""role"": ""user"", ""content"": ""I'm sorry for the problem. Right now, we think the delay will be about one hour. We'll try to let you know if anything else changes.""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for letting me know. I appreciate the update.""}, {""role"": ""user"", ""content"": ""Airline representative: No problem! We know it's not ideal and we thank you for understanding. If there's anything else you want to ask or if you have any worries, please feel free to let us know.""}, {""role"": ""assistant"", ""content"": ""passenger: Is there an estimated time for boarding? I just want to make sure I have all the information.""}, {""role"": ""user"", ""content"": ""Airline representative: We are sorry for any problem caused. Right now, we do not know when we will start getting on the plane. But, when we have more details, we will tell you. Thank you for waiting.""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for your response. I will continue to wait for further updates.""}, {""role"": ""user"", ""content"": ""Airline representative: Thank you for understanding. We will let you know any new information about when we can start boarding. We really appreciate your patience.""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for keeping me informed. I understand that delays happen and I'll continue to wait patiently.""}, {""role"": ""user"", ""content"": ""Airline representative: Thank you for being patient and understanding. We are sorry for any trouble the delay may have caused. We are trying our best to fix the problem and help you continue your journey quickly. We appreciate your cooperation.""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for your efforts in resolving the issue. I understand that unforeseen circumstances can occur. I appreciate your assistance in getting me to my destination as soon as possible.""}]"
English;A2;"{""setting"": ""Talking to a colleague during lunch break."", ""roles"": [""colleague"", ""employee""], ""GPT_role"": ""employee"", ""user_role"": ""colleague""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Talking to a colleague during lunch break.. The user is a employee. Act as if you were colleague. Participate in a dialogue as colleague in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: colleague: ...""}, {""role"": ""user"", ""content"": ""Employee: Hello! How is your day going up until now?""}, {""role"": ""assistant"", ""content"": ""Colleague: Hello! My day is going pretty well so far. How about yours?""}, {""role"": ""user"", ""content"": ""Employee: How's your day been? I've been busy with work. Anything exciting happening for you at work today?""}, {""role"": ""assistant"", ""content"": ""Colleague: My day has been quite busy as well. Nothing particularly exciting happening today, just trying to catch up on some pending tasks. How about you? Anything interesting going on at work?""}, {""role"": ""user"", ""content"": ""Employee: Yeah, I get it. Sometimes work can be busy. As for me, nothing really special is happening today. I'm just doing some projects and going to a couple of meetings. It's not too exciting, but it keeps me busy.""}, {""role"": ""assistant"", ""content"": ""Colleague: I can totally relate. Sometimes the routine tasks and meetings can keep us occupied, even if they're not particularly exciting. But hey, at least it keeps us productive, right? Let's hope the day goes by smoothly for both of us!""}, {""role"": ""user"", ""content"": ""Employee: Yes, it's really important to stay productive. I hope our day goes well for both of us. If you need any assistance with your tasks, just tell me. Let's have a productive day and finish well!""}, {""role"": ""assistant"", ""content"": ""Colleague: Thank you for offering your assistance! I appreciate it. Let's definitely aim for a productive day and finish our tasks successfully. If I need any help, I'll be sure to reach out. Together, we can make it a great day!""}, {""role"": ""user"", ""content"": ""Employee: Yes, definitely! We can accomplish important things if we work together. If you ever need assistance, feel free to ask. Let's make today a successful and productive day. We can handle it!""}, {""role"": ""assistant"", ""content"": ""Colleague: Absolutely! Working together and supporting each other is key to achieving our goals. Thank you for your offer of assistance, and I'll definitely reach out if I need any help. Let's stay focused, motivated, and make today a day of success and productivity. We've got this!""}, {""role"": ""user"", ""content"": ""Employee: Yes, for sure! If we help each other and concentrate on our goals, we will definitely succeed. Let's stay positive and have a productive day. We can do it! If you need anything, feel free to ask. Let's have a fantastic day!""}, {""role"": ""assistant"", ""content"": ""Colleague: Absolutely! With a positive mindset and teamwork, there's nothing we can't accomplish. Let's stay focused, motivated, and make the most out of this day. Thank you for your support and offer of assistance. If I need anything, I'll definitely reach out. Here's to a fantastic and productive day ahead!""}]"
English;A2;"{""setting"": ""Talking to university professor about the exam."", ""roles"": [""student"", ""university professor""], ""GPT_role"": ""university professor"", ""user_role"": ""student""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Talking to university professor about the exam.. The user is a university professor. Act as if you were student. Participate in a dialogue as student in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: student: ...""}, {""role"": ""user"", ""content"": ""University professor: Hi there, how can I help you get ready for your exam?""}, {""role"": ""assistant"", ""content"": ""student: Hello, professor. I was wondering if you could provide me with some guidance on what topics I should focus on for the upcoming exam?""}, {""role"": ""user"", ""content"": ""University professor: Sure! For the next test, I suggest you concentrate on the main ideas and theories we talked about during the lessons. It would be helpful if you go over the presentation slides and any readings that were assigned. Do you have a particular subject you need more help with?""}, {""role"": ""assistant"", ""content"": ""student: Thank you, professor. I would appreciate some additional clarification on the topic of supply and demand. Could you please explain the basic concepts and how they interact with each other?""}, {""role"": ""user"", ""content"": ""University professor: Sure! Supply and demand are important ideas in economics. Let me explain them simply. Supply is how much of a product or service producers are willing to offer at different prices. It usually goes up as the price goes up, meaning producers offer more.\n\nOn the other hand, demand is how much of a product or service consumers are willing to buy at different prices. The demand usually goes down as the price goes down, meaning consumers buy more.\n\nSupply and demand interact in the market. When the supply and demand lines cross, we find the balance price and amount. At this point, the amount demanded equals the amount supplied, making the market balanced.\n\nUnderstanding supply and demand helps us see how changes in things like prices, what people like, or how much it costs to make something can affect the market. Is there something specific you want to know about supply and demand?""}, {""role"": ""assistant"", ""content"": ""student: Thank you for the explanation, professor. I have one more question. How do factors like changes in income or consumer preferences affect the supply and demand?""}, {""role"": ""user"", ""content"": ""University professor: That's a good question! When people have more money, they usually buy more things. This means that the demand for certain goods and services increases. As a result, the demand curve moves to the right.\n\nLikewise, if people start liking a certain product more, the demand for that product increases. This can lead to higher prices and more people wanting to buy it.\n\nOn the other hand, changes in income and consumer preferences can also affect how much is produced. For example, if people really like a product, companies might produce more of it to meet the demand. This can lead to an increase in supply.\n\nIn conclusion, changes in income and consumer preferences can have a big impact on both supply and demand, and this affects how the market works.""}, {""role"": ""assistant"", ""content"": ""student: Thank you, professor. I now have a better understanding of how changes in income and consumer preferences can influence supply and demand. This information will definitely help me prepare for the exam.""}, {""role"": ""user"", ""content"": ""Professor: You're welcome! I'm happy that the information was useful to you. Make sure to go over and practice using these ideas in different situations. If you have more questions or need more explanation, feel free to ask. I wish you good luck with getting ready for your exam!""}, {""role"": ""assistant"", ""content"": ""student: Thank you, professor! I appreciate your guidance and support. I will definitely review and practice the concepts we discussed. If I have any more questions, I will reach out to you. Thank you again for your help and well wishes for the exam!""}, {""role"": ""user"", ""content"": ""Professor: You're welcome! I'm happy I could help you. If you have any more questions or need more help, feel free to ask. Remember, practicing is important. Good luck with your studies and the exam. I believe in you!""}, {""role"": ""assistant"", ""content"": ""student: Thank you so much, professor! Your support means a lot to me. I will make sure to practice and give my best on the exam. I appreciate your belief in me. Thank you again for your time and assistance!""}]"
English;A2;"{""setting"": ""Buying train tickets."", ""roles"": [""customer"", ""ticket agent""], ""GPT_role"": ""ticket agent"", ""user_role"": ""customer""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Buying train tickets.. The user is a ticket agent. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Ticket agent: Hi, what can I help you with today?""}, {""role"": ""assistant"", ""content"": ""customer: Hi, I would like to buy a train ticket from London to Manchester, please.""}, {""role"": ""user"", ""content"": ""Ticket agent: Of course, I can help you with that. When do you want to go from London to Manchester?""}, {""role"": ""assistant"", ""content"": ""customer: I would like to leave on Friday morning and return on Sunday evening.""}, {""role"": ""user"", ""content"": ""Ticket agent: Okay, let me see which trains are available for you. Do you want to travel in the morning for the first part of your trip?""}, {""role"": ""assistant"", ""content"": ""customer: Yes, I prefer to travel in the morning.""}, {""role"": ""user"", ""content"": ""Ticket agent: That's good! I found a train that goes straight from London to Manchester on Friday morning at 9:00 AM. It will arrive in Manchester at 11:30 AM. Do you want to reserve a ticket for that?""}, {""role"": ""assistant"", ""content"": ""customer: Yes, please. I would like to reserve a ticket for the 9:00 AM train from London to Manchester on Friday.""}, {""role"": ""user"", ""content"": ""Ticket agent: Wonderful! I have booked a ticket for you on the train departing from London to Manchester at 9:00 AM on Friday. Regarding your trip back, would you like to take an evening train on Sunday?""}, {""role"": ""assistant"", ""content"": ""customer: Yes, an evening train on Sunday would be great. What are the available options?""}, {""role"": ""user"", ""content"": ""Ticket agent: I will see what trains are available for Sunday evening from Manchester to London. There is a train that leaves at 6:30 PM and arrives in London at 9:00 PM. Do you want me to book a ticket for you on that train?""}, {""role"": ""assistant"", ""content"": ""customer: Yes, please book a ticket for me on the 6:30 PM train from Manchester to London on Sunday evening.""}]"
English;B1;"{""setting"": ""Buying train tickets."", ""roles"": [""customer"", ""ticket agent""], ""GPT_role"": ""ticket agent"", ""user_role"": ""customer""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Buying train tickets.. The user is a ticket agent. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Ticket agent: Hi there! How may I help you with buying your train ticket today?""}, {""role"": ""assistant"", ""content"": ""customer: Hi, I'd like to inquire about train tickets from London to Edinburgh.""}, {""role"": ""user"", ""content"": ""Ticket agent: Of course! I can help you with that. Can you please tell me when you want to travel?""}, {""role"": ""assistant"", ""content"": ""customer: I am planning to travel on the 15th of July.""}, {""role"": ""user"", ""content"": ""Ticket agent: Wonderful! I will now look into the various choices that are currently available. Would you mind informing me if you have a particular time in mind for your departure?""}, {""role"": ""assistant"", ""content"": ""customer: Ideally, I would like to depart in the morning around 9 or 10 am.""}, {""role"": ""user"", ""content"": ""Ticket agent: Fantastic! Just give me a second to see what options are available for you on the morning of July 15th, departing from London. Please hold on for a moment while I find the information.""}, {""role"": ""assistant"", ""content"": ""customer: Sure, take your time. I appreciate your assistance.""}, {""role"": ""user"", ""content"": ""Ticket agent: I appreciate your patience. I have found a good choice for you. There is a train that leaves London at 9:30 am and arrives in Edinburgh at 2:45 pm. Should I reserve this ticket for you?""}, {""role"": ""assistant"", ""content"": ""customer: That sounds perfect! Yes, please go ahead and reserve the ticket for me.""}, {""role"": ""user"", ""content"": ""Ticket agent: Wonderful! I've secured a ticket for you on the train leaving London at 9:30 am and reaching Edinburgh at 2:45 pm on July 15th. The ticket will cost you \u00a350 in total. Are you ready to make the payment?""}, {""role"": ""assistant"", ""content"": ""customer: Yes, I am ready to make the payment. Could you please let me know the payment options available?""}]"
English;B1;"{""setting"": ""In a beach bar."", ""roles"": [""bartender"", ""customer""], ""GPT_role"": ""bartender"", ""user_role"": ""customer""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a beach bar.. The user is a bartender. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Bartender: Hello! What would you like to have as your drink tonight?""}, {""role"": ""assistant"", ""content"": ""Customer: Hi! I'll have a classic mojito, please.""}, {""role"": ""user"", ""content"": ""Bartender: Of course! I'll prepare a traditional mojito for you. Is there anything specific you'd like me to add, like garnishes or extra ingredients?""}, {""role"": ""assistant"", ""content"": ""Customer: Just the classic recipe would be perfect, thank you. No need for any extra ingredients or garnishes.""}, {""role"": ""user"", ""content"": ""Bartender: Understood! I will ensure that I follow the traditional recipe for your mojito. It will be prepared shortly. Have a great time!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you so much! I'm looking forward to enjoying my mojito. Have a great evening too!""}, {""role"": ""user"", ""content"": ""Bartender: You're welcome! I hope you like your mojito and have a great time at the beach bar. If you need anything else, just tell me. Cheers!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you, I appreciate it! Cheers to a fantastic evening at the beach bar!""}, {""role"": ""user"", ""content"": ""Bartender: Cheers! Have a great evening and enjoy your time at the beach bar. If you need anything else, feel free to ask. Cheers!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you! I'll be sure to let you know if I need anything else. Cheers to a wonderful evening at the beach bar!""}, {""role"": ""user"", ""content"": ""Bartender: Thanks! My goal is to make your evening even better. Let's raise a glass to a fantastic time at the beach bar!""}, {""role"": ""assistant"", ""content"": ""Customer: Absolutely! Here's to an unforgettable evening at the beach bar. Cheers!""}]"
English;B1;"{""setting"": ""Buying tickets at the cinema."", ""roles"": [""customer"", ""ticket seller""], ""GPT_role"": ""ticket seller"", ""user_role"": ""customer""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Buying tickets at the cinema.. The user is a ticket seller. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Ticket seller: Hi, what can I help you with today?""}, {""role"": ""assistant"", ""content"": ""Customer: Hi there! I'd like to buy two tickets for the new action movie that's showing tonight.""}, {""role"": ""user"", ""content"": ""Ticket seller: Of course, I can help you with that! The action movie is titled \""The Last Stand.\"" When would you like to go and see the movie?""}, {""role"": ""assistant"", ""content"": ""Customer: I would like to see the movie at 7:00 PM tonight, if possible.""}, {""role"": ""user"", ""content"": ""Ticket seller: That's a good choice! The movie \""The Last Stand\"" is playing tonight at 7:00 PM. How many tickets do you want to buy?""}, {""role"": ""assistant"", ""content"": ""Customer: I would like to buy two tickets, please.""}, {""role"": ""user"", ""content"": ""Ticket seller: That's wonderful! I currently have two tickets for the 7:00 PM performance of \""The Last Stand.\"" Each ticket costs $12. Is that acceptable for you?""}, {""role"": ""assistant"", ""content"": ""Customer: Yes, that sounds good. I'm happy to pay $12 per ticket.""}, {""role"": ""user"", ""content"": ""Ticket seller: Fantastic! The cost for two tickets is $24. How do you want to pay? We take cash, credit cards, or mobile payments.""}, {""role"": ""assistant"", ""content"": ""Customer: I'll pay with my credit card, please.""}, {""role"": ""user"", ""content"": ""Ticket seller: Excellent! Kindly place your credit card into the card reader, and I will handle the payment for you.""}, {""role"": ""assistant"", ""content"": ""Customer: Sure, here's my credit card. Thank you for your help!""}]"
English;B2;"{""setting"": ""Buying tickets at the cinema."", ""roles"": [""customer"", ""ticket seller""], ""GPT_role"": ""ticket seller"", ""user_role"": ""customer""}";LanguageLevelBot(Rephrase the text to be on {0} level of CEFR language proficiency. The {0} level is defined as: {1}. Rephrase the text to be on a {0} level: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Buying tickets at the cinema.. The user is a ticket seller. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level B2. B2 is defined as Intermediate - Can understand the main ideas of complex text on both concrete and abstract topics, including technical discussions in his/her field of specialisation. Can interact with a degree of fluency and spontaneity that makes regular interaction with native speakers quite possible without strain for either party. Can produce clear, detailed text on a wide range of subjects and explain a viewpoint on a topical issue giving the advantages and disadvantages of various options.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Ticket seller: Good evening! How can I help you today with buying movie tickets?""}, {""role"": ""assistant"", ""content"": ""customer: Hi there! I'd like to purchase two tickets for the new action movie that just came out.""}, {""role"": ""user"", ""content"": ""Ticket seller: Certainly! May I ask which showtime you would like to attend? We offer screenings at 7:00 PM and 9:30 PM.""}, {""role"": ""assistant"", ""content"": ""customer: Hmm, let me think. I think we would prefer the 7:00 PM showtime.""}, {""role"": ""user"", ""content"": ""Ticket seller: Excellent decision! How many tickets for adults do you require for the 7:00 PM performance?""}, {""role"": ""assistant"", ""content"": ""customer: We will need two adult tickets, please.""}, {""role"": ""user"", ""content"": ""Ticket seller: Great! Do you need any tickets for kids or older people, or any extra things like 3D glasses or popcorn?""}, {""role"": ""assistant"", ""content"": ""customer: No, thank you. Just the two adult tickets for now.""}, {""role"": ""user"", ""content"": ""Ticket seller: Okay, the total cost for the two adult tickets is $20. How would you prefer to pay?""}, {""role"": ""assistant"", ""content"": ""customer: I'll pay with my credit card, please.""}, {""role"": ""user"", ""content"": ""Ticket seller: Great! Kindly insert your credit card into the card reader. After the transaction is finished, your tickets will be printed. Have a great time watching the movie!""}, {""role"": ""assistant"", ""content"": ""customer: Thank you! I'm excited to watch the movie. Have a great day!""}]"
