language;language_level;role_object;pipeline;chat
English;A1;"{""setting"": ""Asking for direction in an unknown city."", ""roles"": [""tourist"", ""local resident""], ""GPT_role"": ""local resident"", ""user_role"": ""tourist""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Asking for direction in an unknown city.. The user is a local resident. Act as if you were tourist. Participate in a dialogue as tourist in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: tourist: ...""}, {""role"": ""user"", ""content"": ""Hello! How can I assist you today?""}, {""role"": ""assistant"", ""content"": ""tourist: Hi there! I'm a bit lost and was wondering if you could help me find the nearest train station?""}, {""role"": ""user"", ""content"": ""Sure! The train station you're looking for is really close by. Just keep walking straight on this street, and you'll spot it on your right. It's called the Central Station.""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you so much! I appreciate your help.""}, {""role"": ""user"", ""content"": ""Welcome! I'm happy to help you. Have a good day and enjoy exploring the city!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you, you too! Have a great day!""}, {""role"": ""user"", ""content"": ""Have a great time exploring the city!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you! I'm excited to explore. Have a wonderful day!""}, {""role"": ""user"", ""content"": ""Welcome! Have a great time exploring and have an amazing day!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you for the warm welcome! I'm looking forward to a fantastic day of exploring. Have a wonderful day too!""}, {""role"": ""user"", ""content"": ""No worries! Have a great day and enjoy exploring the city!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you for your kind words! I'm excited to explore and have a wonderful day.""}]"
English;A1;"{""setting"": ""Buying train tickets."", ""roles"": [""customer"", ""ticket agent""], ""GPT_role"": ""ticket agent"", ""user_role"": ""customer""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Buying train tickets.. The user is a ticket agent. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Hello, how can I help you buy your train ticket today?""}, {""role"": ""assistant"", ""content"": ""customer: Hi, I would like to buy a train ticket from London to Manchester, please.""}, {""role"": ""user"", ""content"": ""Ticket agent: Sure! When do you want to leave London?""}, {""role"": ""assistant"", ""content"": ""customer: I would like to leave London on Friday morning, if possible.""}, {""role"": ""user"", ""content"": ""Ticket agent: I can help you find options. Can you let me know if you have a specific time you want to travel?""}, {""role"": ""assistant"", ""content"": ""customer: I would prefer to leave around 9 AM if there's a train available at that time.""}, {""role"": ""user"", ""content"": ""Ticket agent: Just a second, I'll see what trains are left. Please wait.""}, {""role"": ""assistant"", ""content"": ""customer: No problem, take your time.""}, {""role"": ""user"", ""content"": ""Ticket agent: Thank you for waiting. I found a train going from London to Manchester at 9:15 AM on Friday. Do you want me to book it for you?""}, {""role"": ""assistant"", ""content"": ""customer: Yes, please! I would like to book the train departing from London to Manchester at 9:15 AM on Friday.""}, {""role"": ""user"", ""content"": ""Ticket agent: Sure! Can you please give me your complete name and any identification information you have, like your passport or driver's license number?""}, {""role"": ""assistant"", ""content"": ""customer: My name is John Smith, and my driver's license number is D1234567.""}]"
English;A1;"{""setting"": ""In a beach bar."", ""roles"": [""bartender"", ""customer""], ""GPT_role"": ""bartender"", ""user_role"": ""customer""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a beach bar.. The user is a bartender. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Bartender: Hi there, what would you like to drink?""}, {""role"": ""assistant"", ""content"": ""Customer: Can I have a glass of water, please?""}, {""role"": ""user"", ""content"": ""Bartender: Sure, I can bring you a glass of water right now. Do you need anything else?""}, {""role"": ""assistant"", ""content"": ""Customer: No, thank you. Just the water is fine.""}, {""role"": ""user"", ""content"": ""Bartender: Here is your water. Have a good time! If you need anything more, just tell me.""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you, I will.""}, {""role"": ""user"", ""content"": ""Bartender: No problem! Have a great time at the beach!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you, I will enjoy the beach!""}, {""role"": ""user"", ""content"": ""Bartender: That's good news! Have a good time in the sun and the waves!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you! I can't wait to relax and enjoy the beach.""}, {""role"": ""user"", ""content"": ""Bartender: You're welcome! Have a great time relaxing and enjoying the beach. If you need anything later, feel free to ask.""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you so much! I'll definitely keep that in mind.""}]"
English;A2;"{""setting"": ""Taking a tour of the Barcelona Gothic quarter."", ""roles"": [""tourist"", ""tour guide""], ""GPT_role"": ""tour guide"", ""user_role"": ""tourist""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Taking a tour of the Barcelona Gothic quarter.. The user is a tour guide. Act as if you were tourist. Participate in a dialogue as tourist in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: tourist: ...""}, {""role"": ""user"", ""content"": ""Hello and welcome to the Barcelona Gothic Quarter! How may I help you today?""}, {""role"": ""assistant"", ""content"": ""tourist: Hi! Thank you for welcoming me. I would like to know more about the history of the Gothic Quarter. Can you tell me some interesting facts?""}, {""role"": ""user"", ""content"": ""Sure! The Gothic Quarter, or Barri G\u00f2tic, is the oldest section of Barcelona and has a lot of interesting history. It's been around for over 2,000 years since the Roman times. You'll see many buildings and streets that still have their medieval charm, which makes it feel like you're going back in time when you walk along the narrow cobblestone streets.""}, {""role"": ""assistant"", ""content"": ""tourist: That sounds fascinating! Can you recommend any specific landmarks or attractions in the Gothic Quarter that I shouldn't miss?""}, {""role"": ""user"", ""content"": ""Sure! In the Gothic Quarter, you'll find some really cool places to check out. One of them is the Barcelona Cathedral, also called the Cathedral of the Holy Cross and Saint Eulalia. It's a super pretty cathedral with amazing architecture and a calm courtyard. Another cool spot is the Pla\u00e7a Reial, a busy square with palm trees, covered walkways, and a fountain. It's a great place to chill and watch people. And don't forget to visit the Pla\u00e7a Sant Jaume, where you'll see the City Hall and the Palace of the Generalitat. These are important political buildings in Barcelona.""}, {""role"": ""assistant"", ""content"": ""tourist: Wow, those sound like must-see places! Thank you for the recommendations. Are there any good restaurants or cafes in the Gothic Quarter where I can try some local cuisine?""}, {""role"": ""user"", ""content"": ""Certainly! In the Gothic Quarter, you'll find a range of restaurants and cafes where you can try tasty local food. A popular choice is Els Quatre Gats, a historic caf\u00e9 that used to be a favorite among famous artists like Pablo Picasso. They serve traditional Catalan dishes with a modern touch. Another excellent option is Can Culleretes, one of the oldest restaurants in Barcelona, established in 1786. They specialize in traditional Catalan and Spanish cuisine. And if you feel like having tapas, make your way to La Vinateria del Call, a charming wine bar that offers a variety of tapas and local wines.""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you so much for the recommendations! I'll definitely check out those places. Is there anything else you think I should know before exploring the Gothic Quarter?""}, {""role"": ""user"", ""content"": ""Welcome! As your tour guide, I'd like to give you some helpful tips for exploring the Gothic Quarter. First, get ready for a lot of walking because the narrow streets aren't accessible to vehicles. So, make sure to wear comfortable shoes and take breaks whenever you need to. Next, keep an eye on your surroundings and your belongings because it can get crowded with tourists. It's always better to be cautious and mindful of your personal belongings. And finally, if you need any recommendations or directions, don't hesitate to ask the friendly and helpful locals. They can give you insider tips and suggestions. Have a wonderful time exploring the Gothic Quarter!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you for the helpful tips! I'll keep them in mind as I explore. I'm really looking forward to experiencing the charm and history of the Gothic Quarter.""}, {""role"": ""user"", ""content"": ""Welcome! I'm here to assist you and I'm happy to be of service. You're going to love discovering the Gothic Quarter and learning all about its fascinating history and captivating charm. If you need any more information or help while you're here, just let me know. Have a great time in Barcelona and make sure to fully enjoy your experience in the Gothic Quarter!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you so much for your assistance! I appreciate your help and I'm excited to explore the Gothic Quarter. I'll be sure to reach out if I have any further questions or need any more information. Have a great day!""}]"
English;A2;"{""setting"": ""Talking to the speaker at a conference afterparty."", ""roles"": [""conference attendee"", ""speaker""], ""GPT_role"": ""speaker"", ""user_role"": ""conference attendee""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Talking to the speaker at a conference afterparty.. The user is a speaker. Act as if you were conference attendee. Participate in a dialogue as conference attendee in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: conference attendee: ...""}, {""role"": ""user"", ""content"": ""Speaker: Hey there! I'm really glad to see you here at the conference afterparty. How's the event going for you?""}, {""role"": ""assistant"", ""content"": ""Conference attendee: Hi! The event has been great so far. I've learned a lot from the speakers and enjoyed the networking opportunities. How about you? Did you have a good time presenting?""}, {""role"": ""user"", ""content"": ""Speaker: I'm so glad you're enjoying the event! It's been really exciting for me to share what I know with all of you. It's great to hear that you're finding value in the sessions. Have you been to any talk that you found particularly interesting?""}, {""role"": ""assistant"", ""content"": ""Conference attendee: Yes, I attended a talk earlier about the future of technology and its impact on society. The speaker discussed how artificial intelligence is shaping various industries. It was fascinating to learn about the potential advancements and challenges that lie ahead.""}, {""role"": ""user"", ""content"": ""Speaker: Wow, your talk seems so interesting! Artificial intelligence is really popular now, and it has a big impact on society. It's incredible to think about what it can do and how it can change different areas. Did the speaker talk about any industries that will be affected a lot by AI?""}, {""role"": ""assistant"", ""content"": ""Conference attendee: Yes, the speaker mentioned that industries like healthcare, finance, and transportation are expected to be heavily impacted by artificial intelligence. They discussed how AI can improve diagnosis and treatment in healthcare, streamline financial processes, and revolutionize transportation with self-driving cars. It was eye-opening to see the potential applications in these sectors.""}, {""role"": ""user"", ""content"": ""Speaker: Wow, that's great! AI can really change these industries in a good way. It's exciting to think about how it can make healthcare better, make money systems work faster, and make transportation safer. I'm happy that you found the talk helpful and learned about the good things AI can do in these areas. Is there something in particular that you want to know more about AI and how it's used?""}, {""role"": ""assistant"", ""content"": ""Conference attendee: Actually, I would like to know more about the ethical considerations surrounding AI. With advancements in AI, there are concerns about privacy, job displacement, and bias. I'm interested to learn how these issues are being addressed and what steps are being taken to ensure responsible and fair use of AI technology. Do you have any insights on this?""}, {""role"": ""user"", ""content"": ""Absolutely! Ethics in AI is a very important topic that we are discussing here at the conference. We are taking steps to address these concerns and make sure that personal data is handled safely and openly. We are also focusing on helping workers learn new skills and adapt to the changes brought by AI, so they can continue to have meaningful jobs. Furthermore, we are making efforts to reduce unfair treatment and promote diversity in the development of AI. It's a continuous process, but both organizations and policymakers are actively working towards using AI in a responsible and fair way. Is there anything specific you would like to know more about when it comes to ethics in AI?""}, {""role"": ""assistant"", ""content"": ""Conference attendee: That's great to hear! I'm particularly interested in understanding how bias can be minimized in AI systems. Are there any specific methods or approaches being implemented to ensure that AI algorithms are fair and unbiased in their decision-making processes?""}, {""role"": ""user"", ""content"": ""Absolutely! It's really important to make sure AI systems are not biased. One way we're doing this is by using diverse and representative data when training the AI algorithms. This means including information from different groups of people and their different points of view, so we can lower the chance of any unfairness. We're also keeping a close eye on the AI systems and checking for biases regularly. If we find any, we'll fix them right away. It's also really important to be open and honest about how we're developing and using AI technology, so everyone can trust that it's fair. It's not an easy task, but by taking these steps, we're working towards creating AI systems that are fair and don't have any biases.""}, {""role"": ""assistant"", ""content"": ""Conference attendee: That's reassuring to hear! It's crucial to ensure that AI systems are built on diverse and unbiased data to avoid perpetuating any existing biases. Regular monitoring and transparency in the development process are key to addressing and rectifying any biases that may arise. It's encouraging to know that efforts are being made to create fair and trustworthy AI systems. Thank you for sharing this information!""}]"
English;A2;"{""setting"": ""In a beach bar."", ""roles"": [""bartender"", ""customer""], ""GPT_role"": ""bartender"", ""user_role"": ""customer""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a beach bar.. The user is a bartender. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Bartender: Hey there! What can I fetch you to sip on today?""}, {""role"": ""assistant"", ""content"": ""Customer: Hi there! I'll have a pi\u00f1a colada, please.""}, {""role"": ""user"", ""content"": ""Bartender: No problem! I'll make you a nice pi\u00f1a colada. You can enjoy it!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you! I'm really looking forward to it.""}, {""role"": ""user"", ""content"": ""Bartender: No problem! I'm sure you'll really enjoy it. Just wait a second while I make your yummy pi\u00f1a colada.""}, {""role"": ""assistant"", ""content"": ""Customer: Sure, take your time. I'm in no rush.""}, {""role"": ""user"", ""content"": ""Bartender: Thanks for waiting! Your tasty pi\u00f1a colada is ready. Here you are, have a great time with your drink!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you so much! It looks delicious. Cheers!""}, {""role"": ""user"", ""content"": ""Bartender: No problem! I'm happy you're enjoying it. Here's to a fantastic time at the beach bar! Have a great drink!""}, {""role"": ""assistant"", ""content"": ""Customer: Cheers! I'll definitely savor every sip. Thank you again!""}, {""role"": ""user"", ""content"": ""Bartender: No problem! Have a great time here and enjoy your drink. If you need anything else, just tell me. Cheers!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you! I appreciate it. I'll be sure to let you know if I need anything else. Cheers to a great day at the beach bar!""}]"
English;B1;"{""setting"": ""In emergency room of a hospital."", ""roles"": [""doctor"", ""patient""], ""GPT_role"": ""doctor"", ""user_role"": ""patient""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In emergency room of a hospital.. The user is a doctor. Act as if you were patient. Participate in a dialogue as patient in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: patient: ...""}, {""role"": ""user"", ""content"": ""Doctor: Hi, what can I do for you today?""}, {""role"": ""assistant"", ""content"": ""Patient: Hi, I've been experiencing severe chest pain for the past hour.""}, {""role"": ""user"", ""content"": ""Doctor: I'm sorry to hear that. Could you kindly explain the discomfort you're experiencing? Is it a sharp or a dull sensation?""}, {""role"": ""assistant"", ""content"": ""Patient: It's more of a sharp pain, especially when I take deep breaths.""}, {""role"": ""user"", ""content"": ""Doctor: I understand. Have you experienced any other symptoms along with the chest pain, like difficulty breathing, sweating, or feeling sick?""}, {""role"": ""assistant"", ""content"": ""Patient: Yes, I've been feeling a bit short of breath and I've also been sweating a lot.""}, {""role"": ""user"", ""content"": ""Doctor: Thank you for telling me all of that. Based on what you've described, it's crucial that we investigate your condition further. I believe it would be beneficial to conduct an electrocardiogram (ECG) to assess how your heart's electrical activity is functioning. We might also need to perform some blood tests to gather additional information.""}, {""role"": ""assistant"", ""content"": ""Patient: Alright, doctor. Whatever you think is necessary, I trust your expertise. Let's proceed with the ECG and blood tests.""}, {""role"": ""user"", ""content"": ""Doctor: Thank you for trusting me. I will schedule the ECG and blood tests as soon as I can. For now, I will give you some medicine to help with the pain and make you feel better. Just try to stay calm and rest while we do the tests that are needed.""}, {""role"": ""assistant"", ""content"": ""Patient: Thank you, doctor. I appreciate your help and guidance. I'll do my best to stay calm and rest while we wait for the tests.""}, {""role"": ""user"", ""content"": ""Doctor: You're welcome. I have a duty to make sure you are well. If you have any more worries or if your symptoms get worse, please tell me without delay. We will do our best to give you the finest treatment we can.""}, {""role"": ""assistant"", ""content"": ""Patient: I will definitely reach out if anything changes or if I have any concerns. Thank you for your dedication and care, doctor.""}]"
English;B1;"{""setting"": ""At the airport managing a delayed flight."", ""roles"": [""airline representative"", ""passenger""], ""GPT_role"": ""airline representative"", ""user_role"": ""passenger""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""At the airport managing a delayed flight.. The user is a airline representative. Act as if you were passenger. Participate in a dialogue as passenger in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: passenger: ...""}, {""role"": ""user"", ""content"": ""I'm sorry for the delay. It seems like there's a problem with the plane. We're doing our best to fix it and get you on your journey as quickly as we can.""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for letting us know. Can you please provide an estimate of how long the delay might be?""}, {""role"": ""user"", ""content"": ""I'm sorry for the trouble caused. Right now, we don't have an exact time for the delay. But our team is working hard to fix the problem as quickly as we can. We thank you for your understanding and patience.""}, {""role"": ""assistant"", ""content"": ""passenger: I appreciate your efforts. It's just that I have a connecting flight to catch, and I'm worried about missing it. Is there any way you can help me with alternative arrangements?""}, {""role"": ""user"", ""content"": ""I understand that you're worried about not making your next flight. Let me just check what we can do to help you. Could you please give me your flight information? I'll try my hardest to find some other options for you.""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for your assistance. My flight information is as follows: I am currently on flight XYZ123 from Airport A to Airport B, and my connecting flight is flight ABC456 from Airport B to Airport C.""}, {""role"": ""user"", ""content"": ""Thank you for giving us your flight details. I will now check what options are available for you. Please wait patiently for a moment.""}, {""role"": ""assistant"", ""content"": ""passenger: Alright, I'll wait here. Thank you for your help.""}, {""role"": ""user"", ""content"": ""I apologize for the wait. I have looked into the options we have and, regrettably, the next flight to Airport C is tomorrow morning. Nevertheless, we can arrange for you to stay overnight and provide you with meals. Would you like us to take care of that for you?""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for checking. I appreciate the offer, but I would prefer to explore other alternatives. Are there any other airlines or flights available that could get me to Airport C sooner?""}, {""role"": ""user"", ""content"": ""I understand that you would like to consider other options. Let me see if there are any other airlines or flights that can take you to Airport C more quickly. Please be patient while I gather the information for you.""}, {""role"": ""assistant"", ""content"": ""passenger: Thank you for your assistance. I really appreciate your effort in finding alternative options for me.""}]"
English;B1;"{""setting"": ""In a beach bar."", ""roles"": [""bartender"", ""customer""], ""GPT_role"": ""bartender"", ""user_role"": ""customer""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a beach bar.. The user is a bartender. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Hi! What would you like to drink today?""}, {""role"": ""assistant"", ""content"": ""customer: Hi! I'd like to have a refreshing mojito, please.""}, {""role"": ""user"", ""content"": ""bartender: No problem! I'll make you a nice, refreshing mojito. Do you want it with or without alcohol?""}, {""role"": ""assistant"", ""content"": ""customer: With alcohol, please. I could use a little kick in my drink.""}, {""role"": ""user"", ""content"": ""Bartender: No problem! I'll make sure to put in the perfect amount of rum to give your mojito that little something extra. Is there anything else I can assist you with?""}, {""role"": ""assistant"", ""content"": ""customer: Actually, do you have any snacks or appetizers to go along with my mojito? I could use something to nibble on.""}, {""role"": ""user"", ""content"": ""Bartender: Sure thing! We've got a range of snacks and starters for you to choose from. Some favorites are the crispy calamari, cheesy nachos, and spicy chicken wings. Which one tickles your fancy?""}, {""role"": ""assistant"", ""content"": ""customer: The crispy calamari sounds delicious! I'll have an order of that, please. Thank you!""}, {""role"": ""user"", ""content"": ""Bartender: Great choice! I'll get you a plate of crispy calamari. Enjoy your mojito and the delicious appetizer. If you need anything else, just give me a shout. Cheers!""}, {""role"": ""assistant"", ""content"": ""customer: Thank you so much! I'm looking forward to it. Cheers!""}, {""role"": ""user"", ""content"": ""Bartender: No problem! Here's to a great time at the beach bar. Have a good time with your drinks and snacks, and if you need anything else, just give me a shout. Cheers!""}, {""role"": ""assistant"", ""content"": ""customer: Cheers! Thank you for your excellent service. I'll be sure to let you know if I need anything else. Enjoy your day!""}]"
English;B2;"{""setting"": ""In a beach bar."", ""roles"": [""bartender"", ""customer""], ""GPT_role"": ""bartender"", ""user_role"": ""customer""}";LanguageLevelRoleFitness(Rephrase the sentence with 2 goals: 1. The sentence should use tone and voice of {0} speaking to {1}, 2. The sentence should only use {2} level of language proficiency, defined as {3}: );"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a beach bar.. The user is a bartender. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level B2. B2 is defined as Intermediate - Can understand the main ideas of complex text on both concrete and abstract topics, including technical discussions in his/her field of specialisation. Can interact with a degree of fluency and spontaneity that makes regular interaction with native speakers quite possible without strain for either party. Can produce clear, detailed text on a wide range of subjects and explain a viewpoint on a topical issue giving the advantages and disadvantages of various options.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Bartender: Hey there! What would you like to have for a drink tonight?""}, {""role"": ""assistant"", ""content"": ""Customer: Hmm, I'm in the mood for something fruity and refreshing. Do you have any tropical cocktails?""}, {""role"": ""user"", ""content"": ""Bartender: Of course! We've got this amazing tropical cocktail called \""Caribbean Breeze\"" made with a delightful blend of pineapple juice, coconut rum, and a touch of lime. Are you interested in tasting it?""}, {""role"": ""assistant"", ""content"": ""Customer: That sounds perfect! I'll definitely give the \""Caribbean Breeze\"" a try. Can you make it extra tropical by adding some fresh mango or passion fruit?""}, {""role"": ""user"", ""content"": ""Sure thing! I can totally throw in some fresh mango to give that \""Caribbean Breeze\"" an extra tropical kick. Just take it easy, chill out, and I'll quickly mix up that rejuvenating drink for you. Have a great time!""}, {""role"": ""assistant"", ""content"": ""Customer: Thanks, I appreciate it! Looking forward to sipping on that refreshing \""Caribbean Breeze\"" and enjoying the beach vibes. Cheers to a great evening!""}, {""role"": ""user"", ""content"": ""Bartender: You're welcome! I'm glad I could help you. Cheers to you as well, and have a great evening by the beach. If there's anything else you need, just let me know. Cheers!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you! I'll definitely let you know if I need anything else. Enjoy the rest of your evening too. Cheers!""}, {""role"": ""user"", ""content"": ""Bartender: Thank you very much! I really appreciate it. Please savor your drink and the remainder of your evening. If you require any assistance, I will be readily available. Cheers and have an amazing time!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you for your hospitality! I'll make sure to enjoy my drink and the beautiful beach atmosphere. If I need anything, I'll definitely reach out. Cheers and have a fantastic evening!""}, {""role"": ""user"", ""content"": ""Bartender: I'm really happy to have served you. I'm glad you're enjoying the beach vibes. I hope you have an amazing evening too. Just so you know, I'm here if you need anything. Cheers and enjoy your drink!""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you so much for your kind service! I'm already loving the beach vibes and I'm sure this drink will make it even better. I'll keep that in mind if I need anything. Cheers to you and have a wonderful evening as well!""}]"
