language;language_level;role_object;pipeline;chat
English;A1;"{""setting"": ""Talking to the speaker at a conference afterparty."", ""roles"": [""conference attendee"", ""speaker""], ""GPT_role"": ""speaker"", ""user_role"": ""conference attendee""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Talking to the speaker at a conference afterparty.. The user is a speaker. Act as if you were conference attendee. Participate in a dialogue as conference attendee in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: conference attendee: ...""}, {""role"": ""user"", ""content"": ""Hey! How's the conference been treating you?""}, {""role"": ""assistant"", ""content"": ""conference attendee: Oh, it's been great so far! I've learned a lot from the different sessions and met some interesting people. How about you? Are you enjoying the conference?""}, {""role"": ""user"", ""content"": ""Attendee: Oh, I'm really loving this conference! It's such a thrill to exchange knowledge and mingle with other experts in the field. I'm so glad to hear that you've been having a great time too. Have there been any sessions that really made an impression on you?""}, {""role"": ""assistant"", ""content"": ""conference attendee: Yes, there was a session earlier today about artificial intelligence that really caught my attention. The speaker explained how AI is transforming various industries, and it was fascinating to see examples of its applications. What about you? Have you attended any sessions that stood out to you?""}, {""role"": ""user"", ""content"": ""Attendee: Wow, that's amazing! I actually got the chance to attend a session on the future of renewable energy at this conference. The speaker was so informative, talking about how advancements in technology are making renewable sources more accessible and efficient. It was truly inspiring to witness the potential for a more sustainable future.""}, {""role"": ""assistant"", ""content"": ""conference attendee: That sounds really interesting! I believe renewable energy is crucial for our planet's future, so it's great to hear that there's progress being made in that field. It must have been inspiring to learn about the advancements and potential impact of renewable energy. Did you get any key takeaways from the session that you'd like to share?""}, {""role"": ""user"", ""content"": ""Attendee: You know, something that really stuck with me from the session was how crucial it is for governments, industries, and communities to work together to promote renewable energy. The speaker really stressed the importance of having supportive policies, investments, and raising public awareness to speed up the shift towards a more sustainable future. It made me realize just how much we all need to come together and work towards making a real difference in combating climate change.""}, {""role"": ""assistant"", ""content"": ""conference attendee: Absolutely! Collaboration and collective efforts are essential in addressing the challenges of climate change. It's great to hear that the speaker emphasized the need for supportive policies and public awareness. By working together, we can create a more sustainable future for generations to come. I hope that the conference continues to provide valuable insights and discussions on such important topics.""}, {""role"": ""user"", ""content"": ""Attendee: Absolutely, I couldn't agree with you more! It's been an absolute pleasure discussing this topic with you tonight. I sincerely hope you have a wonderful time for the remainder of the conference and engage in even more insightful conversations. Let's keep advocating for collaboration and sustainability, spreading our message far and wide. Enjoy yourself to the fullest!""}, {""role"": ""assistant"", ""content"": ""conference attendee: Thank you so much! It has been a pleasure talking with you as well. I wish you an amazing time at the conference too, and may you have many more inspiring conversations. Let's definitely continue spreading the message of collaboration and sustainability. Enjoy the rest of the conference and take care!""}, {""role"": ""user"", ""content"": ""Speaker: Thank you so much for your kind words! I really appreciate it. You take care too and make sure to enjoy the rest of the conference. Let's stay in touch and keep working together towards a more sustainable future. Have a fantastic evening!""}, {""role"": ""assistant"", ""content"": ""conference attendee: Thank you, Speaker! I really enjoyed our conversation and I'm grateful for the opportunity to connect with you. I will definitely stay in touch and continue working towards a more sustainable future. Have a fantastic evening as well, and take care!""}]"
English;A1;"{""setting"": ""In a bank."", ""roles"": [""customer"", ""bank teller""], ""GPT_role"": ""bank teller"", ""user_role"": ""customer""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a bank.. The user is a bank teller. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Bank teller: Good morning! How may I be of assistance to you today?""}, {""role"": ""assistant"", ""content"": ""Customer: Hello! I would like to open a new savings account, please.""}, {""role"": ""user"", ""content"": ""Bank teller: Absolutely! I'd be more than happy to assist you. Could you kindly provide me with your identification documents, such as your passport or ID card, please?""}, {""role"": ""assistant"", ""content"": ""Customer: Sure, here is my ID card.""}, {""role"": ""user"", ""content"": ""Bank teller: Thank you for presenting your ID card. Could you kindly provide me with your complete name and current address, please?""}, {""role"": ""assistant"", ""content"": ""Customer: My name is John Smith and I currently live at 123 Main Street.""}, {""role"": ""user"", ""content"": ""Bank teller: Thank you, Mr. Smith. May I kindly ask for your date of birth and contact number, please?""}, {""role"": ""assistant"", ""content"": ""Customer: My date of birth is January 1, 1980, and my contact number is 555-1234.""}, {""role"": ""user"", ""content"": ""Bank teller: Thank you, Mr. Smith. Now, let's move forward with the account opening process. May I kindly ask for your occupation and annual income, please?""}, {""role"": ""assistant"", ""content"": ""Customer: I work as a teacher and my annual income is $40,000.""}, {""role"": ""user"", ""content"": ""Bank teller: Thank you, Mr. Smith, for providing that information. Now, let's move forward with the required paperwork to open your new savings account.""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you, I appreciate your help.""}]"
English;A1;"{""setting"": ""Talking to a colleague during lunch break."", ""roles"": [""colleague"", ""employee""], ""GPT_role"": ""employee"", ""user_role"": ""colleague""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Talking to a colleague during lunch break.. The user is a employee. Act as if you were colleague. Participate in a dialogue as colleague in English. Generate one conversation line. You can only speak English on level A1. A1 is defined as Basic - Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has. Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.. From now on, start all your responses with: colleague: ...""}, {""role"": ""user"", ""content"": ""Employee: Hey there! How's your lunch break treating you?""}, {""role"": ""assistant"", ""content"": ""Colleague: Hi! My lunch break is going well, thank you. How about yours?""}, {""role"": ""user"", ""content"": ""Employee: Hey, how's your lunch break going? Mine's been good so far. I grabbed a sandwich and some fruit. What about you? What did you have for lunch?""}, {""role"": ""assistant"", ""content"": ""Colleague: Hi! My lunch break is going well, thank you. I also had a sandwich, but I added some chips on the side. It was quite tasty.""}, {""role"": ""user"", ""content"": ""Employee: Wow, that sounds absolutely delicious! Sandwiches are such a great option for a quick and satisfying lunch, don't you think? And adding some chips definitely amps up the flavor. Well, enjoy the rest of your break, my friend!""}, {""role"": ""assistant"", ""content"": ""Colleague: Absolutely! Sandwiches are convenient and always hit the spot. Thank you, my friend! Enjoy the rest of your break too!""}, {""role"": ""user"", ""content"": ""Employee: Hey, thanks! I'm definitely going to enjoy the rest of my break. Catch you back in the office real soon!""}, {""role"": ""assistant"", ""content"": ""Colleague: Sounds good! See you back in the office soon. Have a great rest of your break!""}, {""role"": ""user"", ""content"": ""Employee: Thanks! Enjoy the rest of your break and I'll catch you back at the office in a bit!""}, {""role"": ""assistant"", ""content"": ""Colleague: Thank you! Enjoy the rest of your break too. See you back at the office shortly!""}, {""role"": ""user"", ""content"": ""Employee: Thanks! Catch you later at the office. Enjoy the rest of your break!""}, {""role"": ""assistant"", ""content"": ""Colleague: Thank you! See you later at the office. Enjoy the rest of your break as well!""}]"
English;A2;"{""setting"": ""In a library."", ""roles"": [""student"", ""librarian""], ""GPT_role"": ""librarian"", ""user_role"": ""student""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a library.. The user is a librarian. Act as if you were student. Participate in a dialogue as student in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: student: ...""}, {""role"": ""user"", ""content"": ""Librarian: Good day! How may I be of assistance to you today?""}, {""role"": ""assistant"", ""content"": ""Student: Hello! I was wondering if you could help me find some books on world history?""}, {""role"": ""user"", ""content"": ""Librarian: Absolutely! Our library boasts a specialized section solely dedicated to world history. Please, allow me to guide you towards its location.""}, {""role"": ""assistant"", ""content"": ""Student: Thank you so much! I really appreciate your help.""}, {""role"": ""user"", ""content"": ""Librarian: You're most welcome! I'm here to help and it's my pleasure to assist you. Feel free to ask if you have any more questions or need further assistance.""}, {""role"": ""assistant"", ""content"": ""Student: Will do! Thank you again for your assistance.""}, {""role"": ""user"", ""content"": ""Librarian: You're most welcome! Feel free to ask if you require any further assistance. Have a delightful experience here at the library!""}, {""role"": ""assistant"", ""content"": ""Student: Thank you! I will definitely ask if I need any more help. Have a great day!""}, {""role"": ""user"", ""content"": ""Librarian: Thank you so much! I hope you have a fantastic day and thoroughly enjoy your time here at the library!""}, {""role"": ""assistant"", ""content"": ""Student: Thank you, you too!""}, {""role"": ""user"", ""content"": ""Librarian: Thank you so much! Take care and may you have a truly delightful day!""}, {""role"": ""assistant"", ""content"": ""Student: Thank you, you too! Take care!""}]"
English;A2;"{""setting"": ""Talking to the speaker at a conference afterparty."", ""roles"": [""conference attendee"", ""speaker""], ""GPT_role"": ""speaker"", ""user_role"": ""conference attendee""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Talking to the speaker at a conference afterparty.. The user is a speaker. Act as if you were conference attendee. Participate in a dialogue as conference attendee in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: conference attendee: ...""}, {""role"": ""user"", ""content"": ""Hey there! So nice to run into you at the conference afterparty. How's the event been treating you? Having a good time?""}, {""role"": ""assistant"", ""content"": ""conference attendee: Hi! Yes, the event has been great so far. I'm having a good time networking and learning from the speakers. How about you? Are you enjoying the conference?""}, {""role"": ""user"", ""content"": ""Conference attendee: Wow, I completely agree! This conference has been absolutely amazing. It's given me such a great chance to not only showcase my expertise but also network with other industry experts. The atmosphere is just buzzing with excitement.""}, {""role"": ""assistant"", ""content"": ""conference attendee: That's fantastic to hear! It's always a wonderful opportunity to connect with like-minded individuals and exchange knowledge and experiences. Have you attended any particularly interesting sessions or workshops during the conference?""}, {""role"": ""user"", ""content"": ""Attendee: Oh, definitely! I've been to some incredibly captivating sessions and workshops. One that really stood out to me was this amazing workshop on groundbreaking marketing strategies. It was absolutely fascinating to witness how companies are utilizing cutting-edge technologies to effectively connect with their target audience in such inventive and imaginative ways. How about you? Did any sessions manage to capture your attention?""}, {""role"": ""assistant"", ""content"": ""conference attendee: Absolutely! I attended a session on the future of artificial intelligence in business. It was mind-blowing to see how AI is revolutionizing various industries and the potential it holds for streamlining processes and enhancing productivity. It really got me thinking about the possibilities and how it could impact my own work.""}, {""role"": ""user"", ""content"": ""Wow, it's really mind-blowing, isn't it? Artificial intelligence is such a game-changer, and it's incredible how it's revolutionizing various industries. I'm so glad to hear that the session piqued your curiosity and made you consider its implications for your own work. If you have any particular queries or would like to delve deeper into the topic, feel free to reach out to me.""}, {""role"": ""assistant"", ""content"": ""conference attendee: Thank you so much! I really appreciate your offer. I definitely have some questions regarding AI and its practical applications in my industry. It would be great to have a more in-depth conversation about it. I'll make sure to connect with you soon.""}, {""role"": ""user"", ""content"": ""Sure, I'd love to delve into the realm of AI and how it can be practically applied in your industry. Feel free to get in touch with me whenever you're ready, and we can dive into your queries and explore the endless possibilities together. I'm excited to chat with you!""}, {""role"": ""assistant"", ""content"": ""conference attendee: Thank you, I'm looking forward to it as well! I'll be sure to reach out to you soon so we can have a valuable discussion on AI and its practical applications. Enjoy the rest of the conference and see you soon!""}, {""role"": ""user"", ""content"": ""Thank you very much! I'm really excited for our discussion too. Make sure to have a great time networking and learning throughout the rest of the conference. See you soon!""}, {""role"": ""assistant"", ""content"": ""conference attendee: Thank you! I'll definitely make the most of the remaining time at the conference. Have a wonderful time as well and see you soon!""}]"
English;A2;"{""setting"": ""Asking for direction in an unknown city."", ""roles"": [""tourist"", ""local resident""], ""GPT_role"": ""local resident"", ""user_role"": ""tourist""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Asking for direction in an unknown city.. The user is a local resident. Act as if you were tourist. Participate in a dialogue as tourist in English. Generate one conversation line. You can only speak English on level A2. A2 is defined as Basic - Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment). Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.  Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.. From now on, start all your responses with: tourist: ...""}, {""role"": ""user"", ""content"": ""Hey there! How can I help you today? Are you searching for a particular spot or just need some general directions?""}, {""role"": ""assistant"", ""content"": ""tourist: Hi there! I'm actually looking for a nice place to have lunch. Can you recommend any good restaurants nearby?""}, {""role"": ""user"", ""content"": ""Sure thing! You gotta try \""The Golden Spoon\"" nearby. They've got the best local food and a real comfy vibe. Trust me, it's a must-visit spot for a scrumptious lunch!""}, {""role"": ""assistant"", ""content"": ""tourist: That sounds great! Can you please tell me how to get there from here?""}, {""role"": ""user"", ""content"": ""Sure thing! So, from where you're standing, just go straight down this road for about three blocks. When you get to the intersection, take a left and keep going for two more blocks. \""The Golden Spoon\"" will be on your right side. You won't be able to miss it! Hope you enjoy your meal!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you so much for the directions! I really appreciate your help. I'm looking forward to trying out \""The Golden Spoon\"" for lunch. Have a great day!""}, {""role"": ""user"", ""content"": ""No problem at all! I'm happy I could lend a hand. Make sure to savor your meal at \""The Golden Spoon\"" and have an amazing time exploring our city! If you need any more help, don't hesitate to ask. Take care!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you once again! I'll definitely make the most of my time here. If I have any more questions, I'll be sure to reach out. Take care and have a wonderful day!""}, {""role"": ""user"", ""content"": ""You're welcome, y'all! Enjoy every second of your time here and don't hesitate to ask for any help y'all may need. Have a mighty fine day and take care now, ya hear? Safe travels, y'all!""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you kindly for your warm hospitality! I appreciate your southern charm. Have a splendid day and safe travels to you too. Take care and goodbye!""}, {""role"": ""user"", ""content"": ""Well, I sure do appreciate your kind words! It's been a real pleasure helping y'all out. Have a fantastic day, stay safe on your travels, and enjoy your time here in our city. Take care now, and don't forget to come on back, ya hear?""}, {""role"": ""assistant"", ""content"": ""tourist: Thank you so much for your hospitality and friendly demeanor! I had a wonderful time here and I'll definitely keep your invitation in mind. Have a fantastic day, take care, and until next time! Goodbye!""}]"
English;B1;"{""setting"": ""In emergency room of a hospital."", ""roles"": [""doctor"", ""patient""], ""GPT_role"": ""doctor"", ""user_role"": ""patient""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In emergency room of a hospital.. The user is a doctor. Act as if you were patient. Participate in a dialogue as patient in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: patient: ...""}, {""role"": ""user"", ""content"": ""Doctor: Good evening. What seems to be the problem that brought you here today?""}, {""role"": ""assistant"", ""content"": ""Patient: Well, I've been having this persistent cough for the past few days and it's been getting worse.""}, {""role"": ""user"", ""content"": ""Doctor: I understand. Have you experienced any additional symptoms along with your cough? Like a fever, difficulty breathing, or pain in your chest?""}, {""role"": ""assistant"", ""content"": ""Patient: Yes, I've been having a slight fever and some chest discomfort when I cough.""}, {""role"": ""user"", ""content"": ""Doctor: I understand. Considering your symptoms, there is a chance that you may have contracted a respiratory infection. I would like to examine your lungs and perform some tests in order to gain a better understanding of what might be causing your symptoms.""}, {""role"": ""assistant"", ""content"": ""Patient: Okay, that sounds good. I just want to figure out what's going on and start feeling better.""}, {""role"": ""user"", ""content"": ""Doctor: I understand your concern completely. Our priority is to identify the cause and offer suitable treatment. To begin, we will take your temperature and perform a physical examination of your lungs.""}, {""role"": ""assistant"", ""content"": ""Patient: Alright, I'm ready. Please let me know if there's anything I should do or if I need to take any tests.""}, {""role"": ""user"", ""content"": ""Doctor: I appreciate your cooperation. Let's begin by checking your temperature and listening to your lungs using a stethoscope. Based on the results, I may suggest additional diagnostic tests like a chest X-ray or a sputum culture to gain a better understanding of your condition.""}, {""role"": ""assistant"", ""content"": ""Patient: Thank you, doctor. I trust your judgment and I'm willing to undergo any necessary tests to determine the cause of my symptoms.""}, {""role"": ""user"", ""content"": ""Doctor: I appreciate your trust. You can rest assured that we will make every effort to determine the underlying cause of your symptoms and administer the appropriate treatment. Now, let's move forward with the initial examination and take it from there.""}, {""role"": ""assistant"", ""content"": ""Patient: Thank you, doctor. I appreciate your help and expertise. I'm ready to proceed with the examination.""}]"
English;B1;"{""setting"": ""Talking to a colleague during lunch break."", ""roles"": [""colleague"", ""employee""], ""GPT_role"": ""employee"", ""user_role"": ""colleague""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""Talking to a colleague during lunch break.. The user is a employee. Act as if you were colleague. Participate in a dialogue as colleague in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: colleague: ...""}, {""role"": ""user"", ""content"": ""Hey! How's your morning been so far?""}, {""role"": ""assistant"", ""content"": ""colleague: Hey! My morning has been pretty good, thanks for asking. How about yours? Anything interesting happen?""}, {""role"": ""user"", ""content"": ""Hey! My morning has been pretty busy, but nothing too crazy. Just trying to catch up on some tasks and emails. What about you? Any exciting plans for the rest of the day?""}, {""role"": ""assistant"", ""content"": ""colleague: Oh, I can relate to the busy mornings! As for the rest of the day, nothing too exciting planned. Just finishing up some reports and then probably grabbing a coffee to keep me going. How about you? Anything fun lined up for later?""}, {""role"": ""user"", ""content"": ""Employee: Nothing much, just a few more meetings and tying up loose ends on some projects. But I was thinking of indulging in a fancy dinner tonight to relax. You know how it is, sometimes the little things can really brighten up the day, don't you think?""}, {""role"": ""assistant"", ""content"": ""colleague: Absolutely! Treating yourself to a fancy dinner sounds like a great idea. It's those little moments of relaxation and indulgence that can really make a difference in brightening up the day. Enjoy your dinner and take some time to unwind, you deserve it!""}, {""role"": ""user"", ""content"": ""Colleague: Thank you so much! Your kind words mean a lot. It's crucial to prioritize self-care and find moments of relaxation, especially with our hectic schedules. I hope the rest of your day goes well too, and maybe we can chat again during our next lunch break. Stay well!""}, {""role"": ""assistant"", ""content"": ""colleague: You're very welcome! I completely agree, self-care is so important in our busy lives. Thank you for your kind wishes, and I hope the rest of your day goes smoothly as well. Absolutely, let's catch up again during our next lunch break. Take care and have a wonderful day!""}, {""role"": ""user"", ""content"": ""Employee: Thanks! You take care as well and have an awesome day ahead. Can't wait to chat with you again soon. Take care and catch you later!""}, {""role"": ""assistant"", ""content"": ""colleague: Thank you! I appreciate your well wishes. Have an awesome day too and I'll definitely look forward to our next chat. Take care, catch you later!""}, {""role"": ""user"", ""content"": ""Employee: Thanks! Have an amazing day and take care. Can't wait to talk to you again. See you later!""}, {""role"": ""assistant"", ""content"": ""colleague: Thank you! You have an amazing day as well. Take care and see you later! Looking forward to our next conversation.""}]"
English;B1;"{""setting"": ""In a bank."", ""roles"": [""customer"", ""bank teller""], ""GPT_role"": ""bank teller"", ""user_role"": ""customer""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a bank.. The user is a bank teller. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level B1. B1 is defined as Intermediate - Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc. Can deal with most situations likely to arise whilst travelling in an area where the language is spoken.  Can produce simple connected text on topics which are familiar or of personal interest. Can describe experiences and events, dreams, hopes & ambitions and briefly give reasons and explanations for opinions and plans.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Bank teller: Good morning! How can I help you today?""}, {""role"": ""assistant"", ""content"": ""Customer: Good morning! I would like to inquire about opening a new savings account.""}, {""role"": ""user"", ""content"": ""Bank teller: Absolutely! We offer a variety of savings accounts. Are you interested in any particular type, or would you prefer some suggestions?""}, {""role"": ""assistant"", ""content"": ""Customer: I'm interested in a savings account that offers a competitive interest rate. What options do you have available?""}, {""role"": ""user"", ""content"": ""Bank teller: We offer various savings account options with competitive interest rates. Our High-Yield Savings Account is particularly popular, as it offers a higher interest rate compared to our standard savings account. Would you like me to provide more information about this account, or do you wish to consider other options as well?""}, {""role"": ""assistant"", ""content"": ""Customer: I'd like to know more about the High-Yield Savings Account, please. What are the requirements to open one and what is the current interest rate?""}, {""role"": ""user"", ""content"": ""Bank teller: In order to open a High-Yield Savings Account, we kindly ask you to provide a valid ID, proof of address, and an initial deposit. The minimum deposit required to get started is $500. Currently, the interest rate stands at 2.5% APY. Please note that this rate may be adjusted over time, but we always aim to offer competitive rates in the market. Is there anything else I can assist you with regarding this account?""}, {""role"": ""assistant"", ""content"": ""Customer: Thank you for the information. That sounds like a great option for me. Could you please let me know if there are any monthly maintenance fees associated with the High-Yield Savings Account?""}, {""role"": ""user"", ""content"": ""Bank teller: I'm delighted to hear that the High-Yield Savings Account suits your needs perfectly! In terms of the monthly maintenance fees, I'm happy to let you know that this account doesn't have any. It's specifically designed to help you save without any extra charges. If you have any more inquiries or require further assistance, please don't hesitate to ask!""}, {""role"": ""assistant"", ""content"": ""Customer: That's great to hear! I appreciate your help. One last question, can I access my High-Yield Savings Account online or through a mobile app?""}, {""role"": ""user"", ""content"": ""Bank teller: Certainly! Our High-Yield Savings Account is easily accessible through our online banking platform and mobile app. Using these digital tools, you can conveniently check your balance, view transaction history, transfer funds, and even establish automatic savings transfers. It's a hassle-free way to handle your savings while on the move. If you require any support with setting up online or mobile banking, please don't hesitate to ask. I'll be more than happy to assist you in getting started!""}, {""role"": ""assistant"", ""content"": ""Customer: That's perfect! Thank you for your assistance. I would like to proceed with opening a High-Yield Savings Account. What are the next steps?""}]"
English;B2;"{""setting"": ""In a beach bar."", ""roles"": [""bartender"", ""customer""], ""GPT_role"": ""bartender"", ""user_role"": ""customer""}";RoleFollowingBot(Rephrase the sentence to match the tone and voice of a {0} speaking to {1} in a setting described as {2}:);"[{""role"": ""system"", ""content"": ""You are an AI assistant that helps people find information.""}, {""role"": ""user"", ""content"": ""In a beach bar.. The user is a bartender. Act as if you were customer. Participate in a dialogue as customer in English. Generate one conversation line. You can only speak English on level B2. B2 is defined as Intermediate - Can understand the main ideas of complex text on both concrete and abstract topics, including technical discussions in his/her field of specialisation. Can interact with a degree of fluency and spontaneity that makes regular interaction with native speakers quite possible without strain for either party. Can produce clear, detailed text on a wide range of subjects and explain a viewpoint on a topical issue giving the advantages and disadvantages of various options.. From now on, start all your responses with: customer: ...""}, {""role"": ""user"", ""content"": ""Bartender: Hey, how's it going? What can I get you today?""}, {""role"": ""assistant"", ""content"": ""customer: Hi there! I'll have a pi\u00f1a colada, please.""}, {""role"": ""user"", ""content"": ""Bartender: Absolutely! I'll whip up a delicious pi\u00f1a colada just for you. Any specific rum you fancy?""}, {""role"": ""assistant"", ""content"": ""customer: Hmm, do you have any recommendations for a good rum to go with the pi\u00f1a colada?""}, {""role"": ""user"", ""content"": ""Bartender: If you're after a smooth and slightly sweet taste, I'd suggest going for a gold or aged rum. You can't go wrong with options like Bacardi Gold or Mount Gay Eclipse in a pi\u00f1a colada. Are you up for trying one of those?""}, {""role"": ""assistant"", ""content"": ""customer: Sounds great! I'll go with the Bacardi Gold then. Thank you for the recommendation.""}, {""role"": ""user"", ""content"": ""Bartender: Great pick! It'll be ready in a jiffy. Gonna mix in some zesty pineapple juice, creamy coconut cream, and a hint of tangy lime. Just kick back, chill, and savor the tropical goodness of our pi\u00f1a colada made with Bacardi Gold. If you need anything else, just give me a holler.""}, {""role"": ""assistant"", ""content"": ""customer: Thank you so much! I can't wait to try it. I'll definitely let you know if I need anything else. Cheers!""}, {""role"": ""user"", ""content"": ""Bartender: No problem at all! Sit back, relax, and savor your ice-cold pi\u00f1a colada while soaking in those beach vibes. If there's anything else you need or if you fancy another round, just give me a shout. Here's to an amazing time at our beach bar! Cheers!""}, {""role"": ""assistant"", ""content"": ""customer: Cheers to that! Thank you for the excellent service. I'll definitely be enjoying the beach vibes with this delicious pi\u00f1a colada.""}, {""role"": ""user"", ""content"": ""Bartender: Welcome, welcome! We're here to make sure you have a great time. Take in the beach, soak up the sun, and savor that amazing pi\u00f1a colada. If there's anything else you fancy, just give us a holler. Here's to an incredible time at the beach bar! Cheers!""}, {""role"": ""assistant"", ""content"": ""customer: Cheers to that! Thank you for the warm welcome and great hospitality. I'll be sure to enjoy the beach and the refreshing pi\u00f1a colada.""}]"
